run,tag,step,value
model_602,Episode_Reward/ang_vel_x_l2,483,-0.0005865467246621847
model_602,Episode_Reward/ang_vel_x_l2,484,-0.0008910192991606891
model_602,Episode_Reward/ang_vel_x_l2,485,-0.0011356868781149387
model_602,Episode_Reward/ang_vel_x_l2,486,-0.0012160419719293714
model_602,Episode_Reward/ang_vel_x_l2,487,-0.0012104351771995425
model_602,Episode_Reward/ang_vel_x_l2,488,-0.0012008905177935958
model_602,Episode_Reward/ang_vel_x_l2,489,-0.0011579158017411828
model_602,Episode_Reward/ang_vel_x_l2,490,-0.00136880564969033
model_602,Episode_Reward/ang_vel_x_l2,491,-0.001293857116252184
model_602,Episode_Reward/ang_vel_x_l2,492,-0.0010396118741482496
model_602,Episode_Reward/ang_vel_x_l2,493,-0.0009496068814769387
model_602,Episode_Reward/ang_vel_x_l2,494,-0.0008980944403447211
model_602,Episode_Reward/ang_vel_x_l2,495,-0.0008979184203781188
model_602,Episode_Reward/ang_vel_x_l2,496,-0.0009166546515189111
model_602,Episode_Reward/ang_vel_x_l2,497,-0.000967981293797493
model_602,Episode_Reward/ang_vel_x_l2,498,-0.0009545621578581631
model_602,Episode_Reward/ang_vel_x_l2,499,-0.0009374996880069375
model_602,Episode_Reward/ang_vel_x_l2,500,-0.0008547946345061064
model_602,Episode_Reward/ang_vel_x_l2,501,-0.0009111122344620526
model_602,Episode_Reward/ang_vel_x_l2,502,-0.0009418748668394983
model_602,Episode_Reward/ang_vel_x_l2,503,-0.0009221151121892035
model_602,Episode_Reward/ang_vel_x_l2,504,-0.00095886189956218
model_602,Episode_Reward/ang_vel_x_l2,505,-0.0008465972496196628
model_602,Episode_Reward/ang_vel_x_l2,506,-0.0008008771110326052
model_602,Episode_Reward/ang_vel_x_l2,507,-0.0008557598921470344
model_602,Episode_Reward/ang_vel_x_l2,508,-0.0008553788065910339
model_602,Episode_Reward/ang_vel_x_l2,509,-0.0008116924436762929
model_602,Episode_Reward/ang_vel_x_l2,510,-0.000756027118768543
model_602,Episode_Reward/ang_vel_x_l2,511,-0.0007039430201984942
model_602,Episode_Reward/ang_vel_x_l2,512,-0.0008126514148898423
model_602,Episode_Reward/ang_vel_x_l2,513,-0.0008178966236300766
model_602,Episode_Reward/ang_vel_x_l2,514,-0.0007387509103864431
model_602,Episode_Reward/ang_vel_x_l2,515,-0.0007847676752135158
model_602,Episode_Reward/ang_vel_x_l2,516,-0.0006841157446615398
model_602,Episode_Reward/ang_vel_x_l2,517,-0.0007176368962973356
model_602,Episode_Reward/ang_vel_x_l2,518,-0.0007080647628754377
model_602,Episode_Reward/ang_vel_x_l2,519,-0.0007763729081489146
model_602,Episode_Reward/ang_vel_x_l2,520,-0.0008445713901892304
model_602,Episode_Reward/ang_vel_x_l2,521,-0.000744873657822609
model_602,Episode_Reward/ang_vel_x_l2,522,-0.0008299620822072029
model_602,Episode_Reward/ang_vel_x_l2,523,-0.0008435262716375291
model_602,Episode_Reward/ang_vel_x_l2,524,-0.0009335936629213393
model_602,Episode_Reward/ang_vel_x_l2,525,-0.0009476285194978118
model_602,Episode_Reward/ang_vel_x_l2,526,-0.0009251517476513982
model_602,Episode_Reward/ang_vel_x_l2,527,-0.0009725168347358704
model_602,Episode_Reward/ang_vel_x_l2,528,-0.0009446094045415521
model_602,Episode_Reward/ang_vel_x_l2,529,-0.0009159976616501808
model_602,Episode_Reward/ang_vel_x_l2,530,-0.0009886521147564054
model_602,Episode_Reward/ang_vel_x_l2,531,-0.0009433560189791024
model_602,Episode_Reward/ang_vel_x_l2,532,-0.0010062664514407516
model_602,Episode_Reward/ang_vel_x_l2,533,-0.0009824276203289628
model_602,Episode_Reward/ang_vel_x_l2,534,-0.0009890233632177114
model_602,Episode_Reward/ang_vel_x_l2,535,-0.0011409440776333213
model_602,Episode_Reward/ang_vel_x_l2,536,-0.0011236430145800114
model_602,Episode_Reward/ang_vel_x_l2,537,-0.0011779797496274114
model_602,Episode_Reward/ang_vel_x_l2,538,-0.0010951792355626822
model_602,Episode_Reward/ang_vel_x_l2,539,-0.0011774076847359538
model_602,Episode_Reward/ang_vel_x_l2,540,-0.0011478292290121317
model_602,Episode_Reward/ang_vel_x_l2,541,-0.001172723830677569
model_602,Episode_Reward/ang_vel_x_l2,542,-0.0012104240013286471
model_602,Episode_Reward/ang_vel_x_l2,543,-0.0013247835449874401
model_602,Episode_Reward/ang_vel_x_l2,544,-0.0014440591912716627
model_602,Episode_Reward/ang_vel_x_l2,545,-0.0013153136242181063
model_602,Episode_Reward/ang_vel_x_l2,546,-0.0012954911217093468
model_602,Episode_Reward/ang_vel_x_l2,547,-0.00128199253231287
model_602,Episode_Reward/ang_vel_x_l2,548,-0.0013441148912534118
model_602,Episode_Reward/ang_vel_x_l2,549,-0.001395786995999515
model_602,Episode_Reward/ang_vel_x_l2,550,-0.0014465972781181335
model_602,Episode_Reward/ang_vel_x_l2,551,-0.0014832408633083105
model_602,Episode_Reward/ang_vel_x_l2,552,-0.0015906048938632011
model_602,Episode_Reward/ang_vel_x_l2,553,-0.001627600286155939
model_602,Episode_Reward/ang_vel_x_l2,554,-0.0015305313281714916
model_602,Episode_Reward/ang_vel_x_l2,555,-0.0016734288074076176
model_602,Episode_Reward/ang_vel_x_l2,556,-0.0017138380790129304
model_602,Episode_Reward/ang_vel_x_l2,557,-0.0019249694887548685
model_602,Episode_Reward/ang_vel_x_l2,558,-0.0018485041800886393
model_602,Episode_Reward/ang_vel_x_l2,559,-0.001677623949944973
model_602,Episode_Reward/ang_vel_x_l2,560,-0.001921346876770258
